feature,weight
intercept,-0.12935079846148198
feature_1,-0.32094283424222225
feature_2,-0.4973627595141846
feature_3,0.029909593857644183
feature_4,0.1023141498170948
feature_5,0.020745096817629424
feature_6,-0.32453566167955794
feature_7,0.9100894219403113
feature_8,-0.5150690200754171
feature_9,0.029909593857644183
feature_10,0.06415082212991062
feature_11,0.02708612060666165
feature_12,-0.5039377789566462
feature_13,0.029909593857644183
feature_14,-0.2186022211861045
feature_15,0.16645865442298843
feature_16,0.8563969813723917
feature_17,0.029909593857644183
feature_18,0.029909593857644183
feature_19,0.3013535667090454
feature_20,0.06978166246947264
feature_21,0.029909593857644183
feature_22,0.3719011738053205
feature_23,0.029909593857644183
feature_24,-0.0277088015033852
feature_25,-0.4835444183950715
feature_26,0.5242480569756168
feature_27,0.009276501961530171
feature_28,-0.14056081535374687
feature_29,-0.5760565910287108
feature_30,0.12211945369890118
feature_31,-0.3202463826319728
feature_32,-0.0277088015033852
feature_33,0.029909593857644183
feature_34,-0.03298864310229364
feature_35,0.029909593857644183
feature_36,0.029909593857644183
feature_37,0.029909593857644183
feature_38,0.08201460157182079
feature_39,0.0582555512504543
feature_40,-0.8483905911098839
feature_41,0.7511539108010393
feature_42,0.19064496708216616
feature_43,0.07958154580086527
feature_44,0.27208734594120665
feature_45,0.20797500709004102
feature_46,-0.49320999726572357
feature_47,-0.8730120482224456
feature_48,0.04168066429372869
feature_49,0.02708612060666165
feature_50,0.1715040880560688
feature_51,-1.164305805685004
feature_52,0.6237790956706385
feature_53,-0.07617946097514881
feature_54,0.31880599571023377
feature_55,-1.0456605613823176
feature_56,0.02708612060666165
feature_57,0.2690892605309765
feature_58,0.22930046386372718
feature_59,0.029909593857644183
feature_60,0.49890810052339224
feature_61,-0.21901636375443373
feature_62,0.16645865442298843
feature_63,0.029909593857644183
feature_64,-0.14056081535374687
feature_65,0.029909593857644183
feature_66,0.07983949891484145
feature_67,-0.05906179149005003
feature_68,0.029909593857644183
feature_69,-0.05457736241140604
feature_70,-0.055444060357242156
feature_71,-0.10025627274545047
feature_72,0.029909593857644183
feature_73,0.14511829633123977
feature_74,-0.0567644502070982
feature_75,-0.20249432344190607
feature_76,0.28476231929522366
feature_77,0.02708612060666165
feature_78,0.47446350386697456
feature_79,-0.10013817988305052
feature_80,0.06415082212991062
feature_81,0.15114815269521814
feature_82,0.08201460157182079
feature_83,-0.14062786800554503
feature_84,-0.03324798447735035
feature_85,-0.17875688787698465
feature_86,0.029909593857644183
feature_87,0.02708612060666165
feature_88,-0.21901636375443373
feature_89,0.08201460157182079
feature_90,0.02708612060666165
feature_91,0.08201460157182079
feature_92,-0.08491046001242374
feature_93,0.27208734594120665
feature_94,0.3852534571470765
feature_95,0.06615431037590082
feature_96,0.4566024808600545
feature_97,-0.5055596752860966
feature_98,0.6041608990610781
feature_99,-0.32453566167955794
feature_100,0.029909593857644183
