feature,weight
intercept,0.1530906871744286
feature_1,-0.08257970609391267
feature_2,0.06462338429239292
feature_3,0.05949804461848431
feature_4,-0.2783331984728798
feature_5,0.07648193868853216
feature_6,-0.040071162134324725
feature_7,0.06121912441255449
feature_8,0.01702755561052258
feature_9,0.07566989895791132
feature_10,0.0046525416656442616
feature_11,-0.04191658329565487
feature_12,0.10055865615147896
feature_13,-0.05016432280393853
feature_14,-0.09429195592308832
feature_15,0.032741969994395825
feature_16,0.03432567770373471
feature_17,0.20116563872435916
feature_18,-0.027049583654246017
feature_19,0.020214461450449413
feature_20,-0.03512476466843418
feature_21,-0.09361272776189773
feature_22,0.0033592635412097696
feature_23,0.06573113227017006
feature_24,-0.03015822339146827
feature_25,-0.05648046782120859
feature_26,0.037064627819763586
feature_27,0.12214504920953731
feature_28,-0.04302251288071187
feature_29,-0.07728365892613932
feature_30,-0.14532608960953466
feature_31,0.03588415101862672
feature_32,-0.0029118297073267635
feature_33,-0.03959001088734856
feature_34,0.047084606749723985
feature_35,-0.07617849448494231
feature_36,0.020461139882912652
feature_37,-0.07301771036858457
feature_38,0.042917167451857446
feature_39,-0.06433272290132223
feature_40,-0.08565740996335634
feature_41,-0.09403197931621758
feature_42,0.035088295210217384
feature_43,-0.0355680699793185
feature_44,0.06576090764424573
feature_45,-0.09940797549231972
feature_46,0.04724750995323053
feature_47,-0.08071168764939778
feature_48,-0.06411580947144518
feature_49,0.11371000377800278
feature_50,-0.08331209085584043
feature_51,0.10016823926168268
feature_52,0.2972449134933575
feature_53,0.06854709809550563
feature_54,0.007335111907092539
feature_55,-0.09563846694453883
feature_56,0.11304788560367288
feature_57,-0.1558190765127519
feature_58,0.09426764421829785
feature_59,0.04484040022894579
feature_60,-0.10401946902270585
feature_61,0.040901938015892696
feature_62,-0.13099972868622
feature_63,0.07107223255761563
feature_64,0.01702755561052258
feature_65,-0.018285600937206912
feature_66,0.05471227013626789
feature_67,0.05406036527712992
feature_68,0.03779909835974701
feature_69,-0.06585869858076991
feature_70,-0.009382471744845557
feature_71,-0.03512476466843418
feature_72,-0.06011983008644688
feature_73,0.026689469536487646
feature_74,-0.26925364140337377
feature_75,0.06989452609728602
feature_76,-0.13610788395200143
feature_77,0.0807444356978511
feature_78,-0.05187641852930197
feature_79,-0.0610528577157745
feature_80,-0.2846179396710887
feature_81,0.011557134071887033
feature_82,-0.15199412738564982
feature_83,-0.049703516018774326
feature_84,-0.0828407040932783
feature_85,0.06679879934555587
feature_86,-0.0749975433186975
feature_87,-0.025196960214808845
feature_88,0.06558678206890546
feature_89,0.07423990132364823
feature_90,-0.027778926939106826
feature_91,-0.1599051533068789
feature_92,-0.13041124655450842
feature_93,0.05413040399736205
feature_94,0.10843984996817524
feature_95,-0.016448198702601637
feature_96,-0.02665069573888027
feature_97,-0.07346678545732013
feature_98,0.07085601259761971
feature_99,0.08634967331223646
feature_100,-0.11549448913161377
