name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,auc,0.5,0.95
2_DecisionTree,Decision Tree,auc,0.5199204835688745,7.01
3_Default_Xgboost,Xgboost,auc,0.5231968329644134,20.05
4_Default_NeuralNetwork,Neural Network,auc,0.5394759066916397,4.1
5_Default_RandomForest,Random Forest,auc,0.5402155627447642,6.3
Ensemble,Ensemble,auc,0.5505257960156649,0.65
