feature,shap_importance
feature_45,0.9676239461714635
feature_39,0.5673059083325767
feature_64,0.567146819326304
feature_97,0.5381390019144455
feature_99,0.5374572145312649
feature_98,0.5338773759432527
feature_49,0.3574198414781211
feature_47,0.3537007623651141
feature_27,0.31174579642766626
feature_112,0.3014010950811633
feature_50,0.2829249912872818
feature_44,0.27294564140696553
feature_46,0.2672108916671313
feature_30,0.23115440685143232
feature_113,0.22960709468249252
feature_28,0.22705367922283576
feature_38,0.2235496986350112
feature_21,0.22327976192890278
feature_22,0.22225515401536805
feature_70,0.21442751027789636
feature_154,0.2083946655911132
feature_52,0.20710379376630908
feature_61,0.19589910447400782
feature_43,0.19323642577262204
feature_48,0.18900120104519563
feature_108,0.17483183495891294
feature_37,0.1711077910847139
feature_41,0.1692791196371233
feature_117,0.1664256142729251
feature_31,0.1612968815753068
feature_77,0.15608118179386038
feature_55,0.15332231131047566
feature_56,0.15332231131047566
feature_54,0.15332231131047566
feature_57,0.15332231131047566
feature_58,0.15332231131047566
feature_53,0.15332231131047566
feature_59,0.15332231131047566
feature_60,0.15332231131047566
feature_62,0.15332231131047566
feature_66,0.15278343586533943
feature_65,0.15278343586533943
feature_23,0.14942696038388129
feature_110,0.14488348323883699
feature_75,0.14300771473049895
feature_76,0.14300771473049895
feature_89,0.14019775825569233
feature_63,0.1398948822932527
feature_103,0.13642863580963546
feature_217,0.13590312598124296
feature_218,0.13590312598124296
feature_33,0.13567779941382357
feature_36,0.13311812789913938
feature_252,0.12953535182379286
feature_5,0.1265149209529094
feature_69,0.1179546486028871
feature_78,0.11624778111446693
feature_7,0.1144557404714686
feature_100,0.1134084952645721
feature_51,0.11194847956812207
feature_34,0.11044720464568673
feature_101,0.10807759723439742
feature_102,0.10764416540712833
feature_24,0.10239615604393396
feature_202,0.1014143189133833
feature_255,0.10025753737556953
feature_254,0.10025753737556953
feature_256,0.10025753737556953
feature_93,0.08710798624664198
feature_201,0.08494747015267867
feature_200,0.08494747015267867
feature_118,0.07972765437311992
feature_116,0.07972765437311992
feature_115,0.07972765437311992
feature_119,0.07972765437311992
feature_42,0.07783678504623812
feature_86,0.07526189390119102
feature_94,0.07436385088701154
feature_68,0.07263492880574442
feature_6,0.06940046237681148
feature_233,0.0693730425154798
feature_232,0.0693730425154798
feature_234,0.0693730425154798
feature_235,0.0693730425154798
feature_236,0.0693730425154798
feature_231,0.0693730425154798
feature_29,0.06669122488939465
feature_10,0.06656646570145529
feature_214,0.06249257715249701
feature_9,0.059121006305241655
feature_13,0.058974173723339095
feature_105,0.054630499070640985
feature_73,0.05424727705284682
feature_20,0.05390593918498336
