name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,auc,0.5,0.99
2_DecisionTree,Decision Tree,auc,0.5558069129916567,7.32
3_Default_Xgboost,Xgboost,auc,0.5594536012259492,23.38
4_Default_NeuralNetwork,Neural Network,auc,0.5543957091775924,4.57
5_Default_RandomForest,Random Forest,auc,0.5582732845223907,6.8
Ensemble,Ensemble,auc,0.5594536012259492,0.64
